scenario_geography_name,standardized_geography_name
"NOAP","Algeria & Libya"
"MEME","Mediteranean Middle East"
"NOAN","Morocco & Tunisia"
"NZL","New Zealand"
"RCIS","Other CIS"
"RCAM","Rest Central America"
"RCEU","Other Balkan"
"RSAM","Rest South America"
"RSAS","Rest South Asia"
"RSEA","Rest South East Asia"
"RSAF","Rest Sub Saharan Africa"
"RGLF","Rest Gulf"
"RPAC","Rest Pacific"
"KOR","South Korea"
"World","Global"
"THA","Thailand"
"EU","EU27"
"NOR","Norway"
"ISL","Iceland"
"CHE","Switzerland"
"TUR","Turkey"
"RUS","Russia"
"USA","US"
"CAN","Canada"
"BRA","Brazil"
"ARG","Argentina"
"CHL","Chile"
"AUS","Australia"
"JPN","Japan"
"CHN","China"
"IND","India"
"SAU","Saudi Arabia"
"IRN","Iran"
"EGY","Egypt"
"ZAF","South Africa"
"MEX","Mexico"
"IDN","Indonesia"
"UKR","Ukraine"
"MYS","Malaysia"
"VNM","Vietnam"
"GBR","UK"
